SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1242.00,1264.95,1242.00,1248.85,1250.00,1249.70,1083,31898,39887562.00,
500003,AEGIS LOGIS ,A ,Q,192.60,198.00,190.00,197.15,196.55,193.95,347,5431,1056222.00,
500008,AMAR RAJA BA,A ,Q,737.95,739.15,727.00,730.15,731.00,736.95,318,11675,8520727.00,
500009,A.SARABHAI  ,X ,Q,12.16,12.35,12.05,12.25,12.25,12.16,21,3538,43175.00,
500010,HDFC        ,A ,Q,1897.00,1898.40,1877.65,1885.05,1885.05,1891.60,2194,209101,394913681.00,
500012,ANDHRA PETRO,X ,Q,55.75,55.90,54.45,55.45,55.85,55.50,227,48003,2642710.00,
500013,ANSAL INFRAS,B ,Q,11.35,12.15,11.35,11.93,12.00,10.84,648,133818,1558841.00,
500014,APPLE FINANC,XT,Q,1.41,1.55,1.41,1.55,1.55,1.48,20,13700,21221.00,
500016,ARUNAHTEL   ,XT,Q,7.60,7.60,7.60,7.60,7.60,7.25,1,126,957.00,
500020,BOM DYEING  ,B ,Q,112.00,117.50,110.10,114.90,114.90,111.45,4491,411032,47101318.00,
500023,ASIANHOTNR  ,B ,Q,138.05,147.00,138.05,140.35,140.20,143.50,11,452,63119.00,
500024,ASSAMCO     ,B ,Q,2.96,2.96,2.96,2.96,2.96,2.82,71,170347,504227.00,
500027,ATUL LTD.   ,A ,Q,3350.00,3379.75,3340.00,3350.95,3340.05,3370.55,73,219,734502.00,
500028,ATV PROJECTS,XT,Q,5.45,5.93,5.45,5.93,5.93,5.65,19,1480,8704.00,
500031,BAJAJ ELECT.,A ,Q,450.00,470.00,450.00,462.15,462.15,458.65,746,21213,9827252.00,
500032,BAJAJHIND   ,B ,Q,7.81,8.25,7.80,8.21,8.21,7.90,447,395166,3214668.00,
500033,FORCE MOTR  ,A ,Q,1394.40,1421.40,1370.40,1402.15,1402.15,1389.40,1340,14888,20922898.00,
500034,BAJFINANCE  ,A ,Q,2659.95,2674.40,2631.00,2641.05,2641.05,2653.05,1810,114316,303559520.00,
500038,BALRAM.CHINI,A ,Q,124.00,127.95,123.95,125.45,125.45,124.45,1723,200877,25369100.00,
500039,BANCO PROD. ,B ,Q,147.00,151.00,145.80,147.35,147.90,145.70,117,9109,1342610.00,
500040,CENTURY TEXT,A ,Q,770.00,778.80,763.35,777.40,777.40,765.85,667,25680,19832779.00,
500041,BANNARI AMAN,B ,Q,1538.95,1539.95,1469.00,1509.40,1525.00,1549.00,19,19,28678.00,
500042,BASF INDIA  ,A ,Q,1305.00,1334.40,1267.20,1316.00,1332.00,1279.05,149,567,742813.00,
500043,BATA INDIA  ,A ,Q,1286.00,1320.55,1285.65,1311.10,1311.10,1284.70,2025,60097,78278978.00,
500048,BEML LTD    ,A ,Q,795.00,822.00,795.00,817.65,817.65,786.30,3991,169667,138186411.00,
500049,BHARAT ELECT,A ,Q,78.85,79.30,78.25,78.70,78.70,77.45,3293,633402,49833619.00,
500052,BHANSALI ENG,B ,Q,59.80,62.70,59.00,60.30,60.30,59.65,1336,253219,15445449.00,
500055,TATASTLBSL  ,T ,Q,26.40,27.30,26.30,26.95,26.95,26.20,261,80211,2149526.00,
500058,BIHAR SPONGE,XT,Q,0.94,0.94,0.93,0.94,0.94,0.94,13,4856,4529.00,
500059,BINANI IND. ,B ,Q,34.65,34.65,34.00,34.25,34.25,34.30,30,5373,184884.00,
500060,BIRLACABLE  ,B ,Q,159.20,170.60,157.75,164.30,164.30,159.20,592,17792,2946573.00,
500067,BLUE STAR   ,A ,Q,602.45,613.40,600.00,608.15,608.35,603.85,78,765,462026.00,
500068,DISA INDIA  ,X ,Q,6192.00,6192.00,6001.10,6053.50,6053.50,5920.00,10,14,85602.00,
500069,BNK CAPITAL ,X ,Q,86.00,86.00,86.00,86.00,86.00,82.05,1,1,86.00,
500074,BPL LTD.    ,B ,Q,27.15,28.00,27.15,27.65,27.65,27.00,106,18602,515254.00,
500078,OAL         ,X ,Q,212.70,222.30,212.25,221.20,222.30,212.70,57,1423,308507.00,
500083,CENTURY EXT ,B ,Q,6.00,6.49,6.00,6.10,6.11,6.00,41,18070,109326.00,
500084,CESC LTD.   ,A ,Q,668.00,675.00,667.00,673.35,675.00,667.35,194,4718,3166741.00,
500085,CHAMBAL FERT,A ,Q,158.00,161.70,157.40,160.25,158.25,157.65,277,13632,2181000.00,
500086,EXIDE IND.  ,A ,Q,217.20,217.20,212.00,213.40,213.40,214.05,2131,109004,23311418.00,
500087,CIPLA LTD.  ,A ,Q,541.05,545.00,539.10,541.75,541.75,543.10,926,39048,21142466.00,
